leto,država,id,ime,p1,p2,p3,p4,p5,p6,vsota,nagrada
1959,Romania,9795,Basarab Nicolescu,unknown,unknown,unknown,unknown,unknown,unknown,37,Gold medal
1959,Romania,9802,Cezar Gheorghe,unknown,unknown,unknown,unknown,unknown,unknown,36,Silver medal
1959,Romania,16084,Cristian Berthaler,unknown,unknown,unknown,unknown,unknown,unknown,36,Silver medal
1959,Romania,16086,Virgil Brişcă,unknown,unknown,unknown,unknown,unknown,unknown,35,Bronze medal
1959,Romania,16087,Mihail Vrăjitoru,unknown,unknown,unknown,unknown,unknown,unknown,33,Bronze medal
1959,Romania,16088,Viorel Barbu,unknown,unknown,unknown,unknown,unknown,unknown,28,Honourable mention
1959,Romania,,?,unknown,unknown,unknown,unknown,unknown,unknown,23,
1959,Romania,,?,unknown,unknown,unknown,unknown,unknown,unknown,21,
1959,Hungary,9794,György Csanak,unknown,unknown,unknown,unknown,unknown,unknown,37,Gold medal
1959,Hungary,12688,Gábor Halász,unknown,unknown,unknown,unknown,unknown,unknown,36,Silver medal
1959,Hungary,12690,György Muszély,unknown,unknown,unknown,unknown,unknown,unknown,35,Bronze medal
1959,Hungary,9800,Béla Bollobás,unknown,unknown,unknown,unknown,unknown,unknown,34,Bronze medal
1959,Hungary,12691,Domokos Szász,unknown,unknown,unknown,unknown,unknown,unknown,31,Honourable mention
1959,Hungary,9801,Ferenc Mezei,unknown,unknown,unknown,unknown,unknown,unknown,24,
1959,Hungary,12694,Ambrus Tihanyi,unknown,unknown,unknown,unknown,unknown,unknown,21,
1959,Hungary,12692,Gyula Katona,unknown,unknown,unknown,unknown,unknown,unknown,15,
1959,Czechoslovakia,9793,Bohuslav Diviš,5,8,7,5,8,7,40,Gold medal
1959,Czechoslovakia,16091,Karel Šmuk,unknown,unknown,unknown,unknown,unknown,unknown,29,Honourable mention
1959,Czechoslovakia,16094,Jiří Votava,unknown,unknown,unknown,unknown,unknown,unknown,28,Honourable mention
1959,Czechoslovakia,16092,Jiří Moudrý,unknown,unknown,unknown,unknown,unknown,unknown,28,Honourable mention
1959,Czechoslovakia,16093,Zdislav Kovářík,unknown,unknown,unknown,unknown,unknown,unknown,25,Honourable mention
1959,Czechoslovakia,,?,unknown,unknown,unknown,unknown,unknown,unknown,21,
1959,Czechoslovakia,,?,unknown,unknown,unknown,unknown,unknown,unknown,12,
1959,Czechoslovakia,,?,unknown,unknown,unknown,unknown,unknown,unknown,9,
1959,Bulgaria,16098,Ivan Titelnikov,5,7,7,5,2,4,30,Honourable mention
1959,Bulgaria,16099,Petr Balarev,5,6,7,0,0,4,22,
1959,Bulgaria,16103,Ventseslav Andreichev,5,4,5,5,0,1,20,
1959,Bulgaria,16101,Rafail Zlatarov,2,5,7,1,2,2,19,
1959,Bulgaria,16102,Tsvetana Penkovska,0,6,5,1,0,3,15,
1959,Bulgaria,16100,Ljubozar Dimitrov,1,7,0,1,0,1,10,
1959,Bulgaria,16104,Nedka Ivanova,1,6,0,1,0,1,9,
1959,Bulgaria,16105,Todor Todorov,1,6,0,0,1,0,8,
1959,Poland,16106,Jan Tóke,unknown,unknown,unknown,unknown,unknown,unknown,25,Honourable mention
1959,Poland,,?,unknown,unknown,unknown,unknown,unknown,unknown,20,
1959,Poland,,?,unknown,unknown,unknown,unknown,unknown,unknown,19,
1959,Poland,,?,unknown,unknown,unknown,unknown,unknown,unknown,18,
1959,Poland,,?,unknown,unknown,unknown,unknown,unknown,unknown,16,
1959,Poland,,?,unknown,unknown,unknown,unknown,unknown,unknown,11,
1959,Poland,,?,unknown,unknown,unknown,unknown,unknown,unknown,8,
1959,Poland,,?,unknown,unknown,unknown,unknown,unknown,unknown,5,
1959,Union of Soviet Socialist Republics,9796,Andrei Tom,unknown,unknown,unknown,unknown,unknown,unknown,34,Bronze medal
1959,Union of Soviet Socialist Republics,9797,Viktor Fedorev,unknown,unknown,unknown,unknown,unknown,unknown,32,Honourable mention
1959,Union of Soviet Socialist Republics,9798,Valeriy Frolov,unknown,unknown,unknown,unknown,unknown,unknown,30,Honourable mention
1959,Union of Soviet Socialist Republics,16114,Aleksander Chetajev,unknown,unknown,unknown,unknown,unknown,unknown,15,
1959,German Democratic Republic,,?,unknown,unknown,unknown,unknown,unknown,unknown,9,
1959,German Democratic Republic,,?,unknown,unknown,unknown,unknown,unknown,unknown,6,
1959,German Democratic Republic,,?,unknown,unknown,unknown,unknown,unknown,unknown,6,
1959,German Democratic Republic,,?,unknown,unknown,unknown,unknown,unknown,unknown,6,
1959,German Democratic Republic,,?,unknown,unknown,unknown,unknown,unknown,unknown,4,
1959,German Democratic Republic,,?,unknown,unknown,unknown,unknown,unknown,unknown,4,
1959,German Democratic Republic,,?,unknown,unknown,unknown,unknown,unknown,unknown,3,
1959,German Democratic Republic,,?,unknown,unknown,unknown,unknown,unknown,unknown,2,
1960,Czechoslovakia,9799,Ivan Korec,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Gold medal
1960,Czechoslovakia,16115,Jiří Souček,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Silver medal
1960,Czechoslovakia,16116,Petr Tomšů,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Bronze medal
