leto,gostiteljica,država,leader,deputy leader
1959,Romania,Romania,Gheorghe D. Simionescu,
1959,Romania,Hungary,Endre Hódi,
1959,Romania,Czechoslovakia,Rudolf Zelinka,
1959,Romania,Bulgaria,Stoian Budurov,
1959,Romania,Poland,Mieczyslaw Czyżykowski,
1959,Romania,Union of Soviet Socialist Republics,Anatol Mikhailovitch Vladimirski,
1959,Romania,German Democratic Republic,Rudolf Nitz,
1963,Poland,Union of Soviet Socialist Republics,Elena Alexandrovna Morozova,Ivan Semyonovitch Petrakov
1963,Poland,Hungary,Endre Hódi,Tibor Bakos
1963,Poland,Romania,Gheorghe D. Simionescu,
1963,Poland,Yugoslavia,Milica Dajović,M. Marjanović
1963,Poland,Czechoslovakia,Jan Vyšín,František Zítek
1963,Poland,Bulgaria,Alippi Mateev,Stoian Budurov
1963,Poland,German Democratic Republic,W. Engel,Herbert Titze
1963,Poland,Poland,Andrzej Mąkowski,K. Wiśniewski
1964,Union of Soviet Socialist Republics,Union of Soviet Socialist Republics,Elena Alexandrovna Morozova,L. B. Fuks
1964,Union of Soviet Socialist Republics,Hungary,Endre Hódi,István Reiman
1964,Union of Soviet Socialist Republics,Romania,Tiberiu Roman,Paul Alger
1964,Union of Soviet Socialist Republics,Poland,Mieczyslaw Czyżykowski,Andrzej Mąkowski
1964,Union of Soviet Socialist Republics,Bulgaria,Alippi Mateev,Stoian Budurov
1964,Union of Soviet Socialist Republics,German Democratic Republic,W. Engel,Herbert Titze
1964,Union of Soviet Socialist Republics,Czechoslovakia,Rudolf Zelinka,František Zítek
1964,Union of Soviet Socialist Republics,Mongolia,Balsh Altangerel,D. Gurisav
1964,Union of Soviet Socialist Republics,Yugoslavia,Milica C. Dajević,M. Stojanović
1965,German Democratic Republic,Union of Soviet Socialist Republics,Elena Alexandrovna Morozova,Ivan Semyonovitch Petrakov
1965,German Democratic Republic,Hungary,Endre Hódi,István Reiman
1965,German Democratic Republic,Romania,Tiberiu Roman,Zlate Bogdanov
1965,German Democratic Republic,Poland,Mieczyslaw Czyżykowski,Andrzej Mąkowski
1965,German Democratic Republic,German Democratic Republic,Hans-Joachim Weinert,Johannes Gronitz
1965,German Democratic Republic,Czechoslovakia,Jan Vyšín,František Zítek
1965,German Democratic Republic,Yugoslavia,Milica Ilić-Djajović,Vladimir Mićić
1965,German Democratic Republic,Bulgaria,Alippi Mateev,Stoian Budurov
1965,German Democratic Republic,Mongolia,Gensengin Ischzeren,Balsh Altangerel
1965,German Democratic Republic,Finland,Jarmo Nyström,Anja Hormio
1966,Bulgaria,Union of Soviet Socialist Republics,,
1966,Bulgaria,Hungary,Endre Hódi,István Reiman
1966,Bulgaria,German Democratic Republic,,
1966,Bulgaria,Poland,Mieczyslaw Czyżykowski,Andrzej Mąkowski
1966,Bulgaria,Romania,,
1966,Bulgaria,Bulgaria,,
1966,Bulgaria,Yugoslavia,,
1966,Bulgaria,Czechoslovakia,,
1966,Bulgaria,Mongolia,,
1967,Yugoslavia,Union of Soviet Socialist Republics,Elena Alexandrovna Morozova,Ivan Semyonovitch Petrakov
1967,Yugoslavia,German Democratic Republic,Hans-Joachim Weinert,Helmut Bausch
1967,Yugoslavia,Hungary,Endre Hódi,István Reiman
1967,Yugoslavia,United Kingdom,Robert Lyness,Norman Routledge
1967,Yugoslavia,Romania,Constantin Ionescu,Zlate Bogdanov
1967,Yugoslavia,Bulgaria,Spas Monolov,Stoian Budurov
1967,Yugoslavia,Czechoslovakia,Jan Vyšín,František Zítek
1967,Yugoslavia,Yugoslavia,Dušan Adnadević,Vladimir Mićić
1967,Yugoslavia,Sweden,Lars Inge Hedberg,Lars Brandell
1967,Yugoslavia,Italy,Tullio Viola,Angelo Pescarini
1967,Yugoslavia,Poland,Mieczyslaw Czyżykowski,Andrzej Mąkowski
1967,Yugoslavia,Mongolia,Urshincerengin Sanzhmyatav,Aivan Duger
1967,Yugoslavia,France,André Adler,
1968,Union of Soviet Socialist Republics,German Democratic Republic,,
1968,Union of Soviet Socialist Republics,Union of Soviet Socialist Republics,,
1968,Union of Soviet Socialist Republics,Hungary,Endre Hódi,István Reiman
1968,Union of Soviet Socialist Republics,United Kingdom,Norman Routledge,David Monk
1968,Union of Soviet Socialist Republics,Poland,Mieczyslaw Czyżykowski,Andrzej Mąkowski
1968,Union of Soviet Socialist Republics,Sweden,Per Martin-Löf,Peter Hackman
1968,Union of Soviet Socialist Republics,Czechoslovakia,,
1968,Union of Soviet Socialist Republics,Romania,Konstantin Ionescu,Gled Simionescu
1968,Union of Soviet Socialist Republics,Bulgaria,,
1968,Union of Soviet Socialist Republics,Yugoslavia,,
1968,Union of Soviet Socialist Republics,Italy,,
1968,Union of Soviet Socialist Republics,Mongolia,,
1969,Romania,Hungary,Endre Hódi,István Reiman
1969,Romania,German Democratic Republic,Helmut Bausch,Rolf Lüders
1969,Romania,Union of Soviet Socialist Republics,Viktor Josifovitch Levin,Ivan Semyonovitch Petrakov
1969,Romania,Romania,Zlate Bogdanov,Florea Pasarica
1969,Romania,United Kingdom,FR Watson,Lenon Beeson
1969,Romania,Bulgaria,Kiril Dotchev,Dimo Serafimov Angelov
1969,Romania,Yugoslavia,Vladimir Mićić,Mila Mršević
1969,Romania,Czechoslovakia,Jan Vyšín,Jozef Moravčík
1969,Romania,Mongolia,Gunzhe Gatavyn,Gombyn Zagdragca
1969,Romania,France,André Warusfel,Geril Denis
1969,Romania,Poland,Mieczyslaw Czyżykowski,Andrzej Mąkowski
1969,Romania,Sweden,Vidar Thomée,Åke Samuelsson
1969,Romania,Belgium,Svens Marcel,Nachtere Jaele Jean
1969,Romania,Netherlands,Hans Freudenthal,Ary van Tooren
1970,Hungary,Hungary,Endre Hódi,István Reiman
1970,Hungary,German Democratic Republic,Helmut Bausch,
1970,Hungary,Union of Soviet Socialist Republics,Michail Ilyich Serov,
1970,Hungary,Yugoslavia,Milenko Steković,
1970,Hungary,Romania,Gleb Simionescu,Constantin Ottescu
1970,Hungary,United Kingdom,Bryan Thwaites,Margaret Riley Crann
1970,Hungary,Bulgaria,Kiril Dotchev,
1970,Hungary,Czechoslovakia,Jan Vyšín,
1970,Hungary,France,André Warusfel,
1970,Hungary,Sweden,Åke Samuelsson,Lars Walbin
1970,Hungary,Poland,Andrzej Mąkowski,Maciej Bryński
1970,Hungary,Austria,Thomas Mühlgassner,
1970,Hungary,Netherlands,Ary van Tooren,
1970,Hungary,Mongolia,Urshincerengin Sanzhmyatav,
1971,Czechoslovakia,Hungary,Endre Hódi,István Reiman
